recon,cyber,disinfo,comb,cyber2,disinfo2
1.0,19.0,12.0,0.0,0.0,0.0
1.0,0.0,7.0,3.0,0.0,0.0
1.0,0.0,1.0,3.0,0.0,6.0
2.0,22.0,18.0,0.0,0.0,0.0
1.0,0.0,1.0,3.0,0.0,60.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,58.0,13.0,0.0,0.0,0.0
1.0,65.0,32.0,0.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
1.0,96.0,3.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,66.0,31.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,70.0,29.0,0.0,0.0,0.0
1.0,54.0,45.0,0.0,0.0,0.0
3.0,95.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,1.0,97.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,95.0,1.0,2.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,0.0,17.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,91.0,5.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,28.0,69.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,21.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,10.0,0.0,3.0,85.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,65.0,0.0,2.0,32.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,29.0,70.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,66.0
1.0,53.0,23.0,0.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,6.0,0.0,4.0,89.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,9.0,16.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
3.0,9.0,0.0,1.0,87.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,57.0,30.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,95.0,1.0,3.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,24.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
4.0,94.0,0.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,25.0,5.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,79.0,18.0,2.0,0.0,0.0
1.0,0.0,32.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,97.0
1.0,52.0,47.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,67.0,31.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
3.0,26.0,24.0,3.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,95.0,2.0,0.0,0.0,0.0
2.0,0.0,12.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,17.0,0.0,1.0,79.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,10.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,29.0,32.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,75.0,23.0,1.0,0.0,0.0
1.0,71.0,27.0,1.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
3.0,0.0,21.0,2.0,0.0,0.0
1.0,14.0,0.0,1.0,84.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,36.0,2.0,0.0,0.0
4.0,40.0,40.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
3.0,13.0,78.0,1.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
4.0,95.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,10.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
1.0,60.0,30.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,34.0,57.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,5.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,0.0,35.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,6.0,0.0,1.0,92.0,0.0
1.0,79.0,18.0,2.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
5.0,94.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,95.0,1.0,3.0,0.0,0.0
1.0,30.0,36.0,0.0,0.0,0.0
1.0,0.0,15.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,34.0,4.0,0.0,0.0
1.0,53.0,14.0,0.0,0.0,0.0
3.0,0.0,9.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,17.0,0.0,1.0,81.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,48.0,50.0,1.0,0.0,0.0
4.0,92.0,0.0,1.0,3.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,49.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
2.0,58.0,16.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,2.0,0.0,1.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,96.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,6.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,11.0,0.0,4.0,83.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,63.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,95.0,1.0,3.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,0.0,61.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,2.0,1.0,0.0,0.0
1.0,87.0,10.0,2.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,82.0,0.0,2.0,15.0,0.0
2.0,0.0,47.0,3.0,0.0,0.0
1.0,21.0,3.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,49.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,59.0,38.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,94.0,0.0,5.0,0.0,0.0
1.0,59.0,0.0,1.0,39.0,0.0
1.0,56.0,0.0,1.0,42.0,0.0
2.0,94.0,2.0,2.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,36.0,1.0,0.0,0.0
1.0,1.0,23.0,1.0,0.0,0.0
1.0,34.0,64.0,1.0,0.0,0.0
2.0,0.0,17.0,3.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,97.0
3.0,0.0,53.0,2.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,0.0,53.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,11.0,39.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,0.0,97.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,52.0,0.0,3.0,44.0,0.0
1.0,88.0,0.0,1.0,10.0,0.0
2.0,0.0,55.0,1.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,10.0
2.0,29.0,31.0,0.0,0.0,0.0
1.0,95.0,1.0,3.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
4.0,95.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,28.0,0.0,1.0,70.0,0.0
2.0,94.0,0.0,4.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,33.0,14.0,0.0,0.0,0.0
3.0,60.0,0.0,1.0,36.0,0.0
2.0,0.0,4.0,1.0,0.0,0.0
1.0,54.0,0.0,3.0,42.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,38.0,14.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
3.0,95.0,2.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,22.0,1.0,0.0,0.0,0.0
2.0,93.0,1.0,4.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
4.0,95.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,0.0,34.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,58.0,0.0,1.0,40.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,15.0,0.0,2.0,81.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,97.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,9.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,2.0,10.0,0.0,0.0,0.0
3.0,94.0,0.0,3.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,87.0,1.0,0.0,0.0
3.0,0.0,24.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,17.0,16.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,80.0,19.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,14.0,3.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,0.0,49.0,3.0,0.0,0.0
2.0,0.0,8.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,90.0,9.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,53.0,10.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,92.0,6.0,1.0,0.0,0.0
1.0,82.0,16.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,20.0
1.0,0.0,11.0,3.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0
1.0,47.0,13.0,0.0,0.0,0.0
1.0,0.0,29.0,1.0,0.0,0.0
1.0,10.0,16.0,0.0,0.0,0.0
1.0,0.0,89.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,19.0
1.0,0.0,49.0,1.0,0.0,0.0
1.0,24.0,0.0,1.0,74.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
3.0,40.0,0.0,1.0,56.0,0.0
1.0,0.0,19.0,1.0,0.0,0.0
1.0,56.0,42.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,95.0,0.0,3.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,3.0
1.0,98.0,0.0,1.0,0.0,0.0
4.0,94.0,0.0,2.0,0.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
2.0,0.0,52.0,3.0,0.0,0.0
1.0,54.0,0.0,2.0,43.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,35.0,0.0,2.0,62.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,1.0,35.0,5.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,26.0,1.0,0.0,0.0
3.0,22.0,0.0,1.0,74.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
3.0,0.0,1.0,1.0,0.0,32.0
1.0,9.0,43.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
3.0,93.0,0.0,4.0,0.0,0.0
1.0,3.0,0.0,3.0,93.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,96.0
2.0,50.0,0.0,2.0,46.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,3.0,0.0,15.0
1.0,0.0,1.0,1.0,0.0,10.0
1.0,90.0,0.0,3.0,6.0,0.0
2.0,63.0,0.0,1.0,34.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,0.0,12.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,0.0,53.0,1.0,0.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
3.0,0.0,30.0,3.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
3.0,0.0,49.0,1.0,0.0,0.0
3.0,95.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,76.0,0.0,2.0,20.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,0.0,76.0,2.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,13.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,14.0
1.0,96.0,1.0,2.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,0.0,94.0,4.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,96.0,1.0,1.0,0.0,0.0
1.0,0.0,5.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,60.0,2.0,0.0,0.0,0.0
1.0,0.0,8.0,1.0,0.0,0.0
1.0,21.0,0.0,2.0,76.0,0.0
1.0,0.0,5.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
3.0,16.0,81.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,45.0,0.0,1.0,53.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,94.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,50.0,0.0,1.0,48.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
3.0,96.0,0.0,1.0,0.0,0.0
2.0,25.0,0.0,1.0,72.0,0.0
3.0,15.0,5.0,4.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,10.0,0.0,1.0,88.0,0.0
2.0,0.0,1.0,2.0,0.0,75.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,95.0,0.0,4.0,0.0,0.0
6.0,0.0,1.0,1.0,0.0,72.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,0.0,80.0,5.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,51.0,2.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
3.0,0.0,72.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,25.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,95.0,0.0,3.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,49.0,11.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,28.0,3.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,96.0,1.0,2.0,0.0,0.0
3.0,96.0,1.0,0.0,0.0,0.0
1.0,0.0,69.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,7.0,0.0,1.0,91.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,57.0,42.0,0.0,0.0,0.0
1.0,93.0,0.0,6.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,0.0,97.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,91.0,3.0,0.0,0.0
4.0,0.0,17.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,56.0,41.0,2.0,0.0,0.0
1.0,96.0,0.0,3.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
2.0,97.0,0.0,1.0,0.0,0.0
2.0,97.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,68.0,28.0,2.0,0.0,0.0
2.0,96.0,0.0,2.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,0.0,14.0,1.0,0.0,0.0
1.0,0.0,15.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
2.0,72.0,25.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
6.0,94.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
4.0,4.0,3.0,0.0,0.0,0.0
5.0,91.0,0.0,4.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
4.0,92.0,1.0,3.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,2.0,0.0,96.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,97.0,0.0,2.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0,0.0
1.0,97.0,2.0,0.0,0.0,0.0
1.0,0.0,98.0,1.0,0.0,0.0
1.0,97.0,1.0,1.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
2.0,0.0,2.0,1.0,0.0,2.0
2.0,0.0,35.0,4.0,0.0,0.0
3.0,97.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
2.0,98.0,0.0,0.0,0.0,0.0
1.0,98.0,0.0,1.0,0.0,0.0
4.0,96.0,0.0,0.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,0.0,10.0,2.0,0.0,0.0
2.0,0.0,57.0,1.0,0.0,0.0
1.0,99.0,0.0,0.0,0.0,0.0
1.0,4.0,6.0,0.0,0.0,0.0
